Email Subject,Email Body,Time Sent,Response Time,Level,Engagement score
Partnership Proposal,Your contract renewal is coming up. Let's schedule a discussion.,2023-10-03 15:50:00,2023-10-03 20:50:00,Hot,76
Feedback Request,Attached is the monthly report. Please review it and share feedback.,2023-12-10 06:16:00,2023-12-10 14:16:00,High,84
Follow Up,Don't miss out on our special discount offers this week!,2023-11-04 13:26:00,2023-11-04 22:26:00,High,75
Special Offer,Attached is the monthly report. Please review it and share feedback.,2023-08-08 20:21:00,2023-08-09 04:21:00,High,97
Feedback Request,We would love to discuss a potential partnership. Let's connect!,2023-09-10 17:05:00,2023-09-11 00:05:00,High,96
Monthly Report,We would appreciate your feedback on our recent collaboration.,2023-11-27 21:45:00,2023-11-29 03:45:00,Cold,30
Webinar Invitation,Don't miss out on our special discount offers this week!,2023-06-01 20:46:00,2023-06-04 13:46:00,Cold,20
Feedback Request,"Hello, we would like to schedule a meeting to discuss your needs.",2023-05-06 08:05:00,2023-05-06 11:05:00,Hot,82
Product Offering,"Hello, we would like to schedule a meeting to discuss your needs.",2023-07-19 15:36:00,2023-07-19 21:36:00,High,69
Meeting Request,Here is an update on the project progress. Let us know your thoughts.,2023-12-22 08:06:00,2023-12-22 09:06:00,Hot,65
Special Offer,We would appreciate your feedback on our recent collaboration.,2023-04-10 20:32:00,2023-04-10 22:32:00,Hot,97
Monthly Report,Join our upcoming webinar on industry trends. Register now!,2023-02-20 15:59:00,2023-02-22 20:59:00,Cold,37
Monthly Report,Your contract renewal is coming up. Let's schedule a discussion.,2023-06-03 18:36:00,2023-06-04 00:36:00,High,97
Monthly Report,We would love to discuss a potential partnership. Let's connect!,2023-05-19 13:51:00,2023-05-20 20:51:00,Cold,92
Feedback Request,We would love to discuss a potential partnership. Let's connect!,2023-05-28 23:41:00,2023-05-29 03:41:00,Hot,81
Follow Up,Here is an update on the project progress. Let us know your thoughts.,2023-02-14 11:31:00,2023-02-14 13:31:00,Hot,63
Product Offering,Join our upcoming webinar on industry trends. Register now!,2023-08-05 07:56:00,2023-08-05 19:56:00,High,80
Special Offer,I am following up on our last conversation. Let me know if you need anything.,2023-01-08 04:02:00,2023-01-08 07:02:00,Hot,78
Project Update,I am following up on our last conversation. Let me know if you need anything.,2023-02-08 15:33:00,2023-02-10 03:33:00,Cold,86
Partnership Proposal,Don't miss out on our special discount offers this week!,2023-11-26 10:02:00,2023-11-28 04:02:00,Cold,56
Product Offering,Here is an update on the project progress. Let us know your thoughts.,2023-05-18 15:15:00,2023-05-20 14:15:00,Cold,46
Feedback Request,We would love to discuss a potential partnership. Let's connect!,2023-11-14 06:57:00,2023-11-14 10:57:00,Hot,91
Partnership Proposal,I am following up on our last conversation. Let me know if you need anything.,2023-05-18 19:50:00,2023-05-21 12:50:00,Cold,72
Follow Up,We would love to discuss a potential partnership. Let's connect!,2023-09-12 17:30:00,2023-09-13 05:30:00,High,70
Special Offer,Attached is the monthly report. Please review it and share feedback.,2023-04-14 21:24:00,2023-04-17 07:24:00,Cold,98
Project Update,Here is an update on the project progress. Let us know your thoughts.,2023-04-06 21:41:00,2023-04-07 06:41:00,High,63
Feedback Request,Don't miss out on our special discount offers this week!,2023-09-06 10:18:00,2023-09-06 21:18:00,High,74
Contract Renewal,Here is an update on the project progress. Let us know your thoughts.,2023-07-29 20:18:00,2023-07-29 21:18:00,Hot,73
Webinar Invitation,Here is an update on the project progress. Let us know your thoughts.,2023-06-21 12:10:00,2023-06-21 15:10:00,Hot,88
Webinar Invitation,We would appreciate your feedback on our recent collaboration.,2023-09-23 18:17:00,2023-09-25 09:17:00,Cold,2
Webinar Invitation,"Hello, we would like to schedule a meeting to discuss your needs.",2023-03-15 13:05:00,2023-03-17 09:05:00,Cold,68
Product Offering,Check out our latest product offerings that might interest you.,2023-06-28 07:17:00,2023-06-28 10:17:00,Hot,79
Special Offer,Join our upcoming webinar on industry trends. Register now!,2023-01-25 16:00:00,2023-01-25 19:00:00,Hot,77
Feedback Request,Don't miss out on our special discount offers this week!,2023-05-18 13:47:00,2023-05-19 19:47:00,Cold,35
Project Update,"Hello, we would like to schedule a meeting to discuss your needs.",2023-12-04 07:20:00,2023-12-04 09:20:00,Hot,92
Follow Up,Don't miss out on our special discount offers this week!,2023-05-31 00:36:00,2023-05-31 08:36:00,High,94
Meeting Request,Here is an update on the project progress. Let us know your thoughts.,2023-01-23 10:58:00,2023-01-23 13:58:00,Hot,61
Feedback Request,We would appreciate your feedback on our recent collaboration.,2023-03-19 11:08:00,2023-03-22 01:08:00,Cold,62
Partnership Proposal,Attached is the monthly report. Please review it and share feedback.,2023-07-02 15:57:00,2023-07-03 03:57:00,High,95
Monthly Report,"Hello, we would like to schedule a meeting to discuss your needs.",2023-01-12 22:48:00,2023-01-13 06:48:00,High,98
Follow Up,We would love to discuss a potential partnership. Let's connect!,2023-01-06 09:58:00,2023-01-06 10:58:00,Hot,61
Webinar Invitation,We would appreciate your feedback on our recent collaboration.,2023-10-12 23:38:00,2023-10-13 00:38:00,Hot,70
Webinar Invitation,We would appreciate your feedback on our recent collaboration.,2023-01-20 09:02:00,2023-01-20 16:02:00,High,96
Monthly Report,Join our upcoming webinar on industry trends. Register now!,2023-07-20 03:30:00,2023-07-22 02:30:00,Cold,90
Project Update,Your contract renewal is coming up. Let's schedule a discussion.,2023-11-26 17:12:00,2023-11-26 22:12:00,Hot,100
Project Update,I am following up on our last conversation. Let me know if you need anything.,2023-10-10 02:31:00,2023-10-10 08:31:00,High,100
Monthly Report,Join our upcoming webinar on industry trends. Register now!,2023-03-18 23:21:00,2023-03-19 07:21:00,High,95
Project Update,Check out our latest product offerings that might interest you.,2023-01-12 01:21:00,2023-01-13 06:21:00,Cold,36
Webinar Invitation,Check out our latest product offerings that might interest you.,2023-05-04 11:17:00,2023-05-04 12:17:00,Hot,97
Follow Up,Your contract renewal is coming up. Let's schedule a discussion.,2023-08-04 17:46:00,2023-08-04 19:46:00,Hot,89
Webinar Invitation,We would love to discuss a potential partnership. Let's connect!,2023-05-24 18:11:00,2023-05-27 13:11:00,Cold,21
Meeting Request,We would love to discuss a potential partnership. Let's connect!,2023-03-04 00:09:00,2023-03-06 04:09:00,Cold,97
Meeting Request,Here is an update on the project progress. Let us know your thoughts.,2023-03-10 01:03:00,2023-03-12 14:03:00,Cold,72
Meeting Request,Your contract renewal is coming up. Let's schedule a discussion.,2023-12-31 21:30:00,2024-01-01 01:30:00,Hot,90
Follow Up,"Hello, we would like to schedule a meeting to discuss your needs.",2023-05-20 14:19:00,2023-05-21 22:19:00,Cold,60
Partnership Proposal,Attached is the monthly report. Please review it and share feedback.,2023-02-07 18:11:00,2023-02-10 00:11:00,Cold,78
Product Offering,Attached is the monthly report. Please review it and share feedback.,2023-03-04 10:30:00,2023-03-04 13:30:00,Hot,98
Product Offering,I am following up on our last conversation. Let me know if you need anything.,2023-08-28 21:12:00,2023-08-29 00:12:00,Hot,72
Meeting Request,We would love to discuss a potential partnership. Let's connect!,2023-01-17 07:23:00,2023-01-19 05:23:00,Cold,69
Partnership Proposal,We would appreciate your feedback on our recent collaboration.,2023-11-20 14:27:00,2023-11-23 06:27:00,Cold,85
Contract Renewal,Your contract renewal is coming up. Let's schedule a discussion.,2023-03-03 04:14:00,2023-03-04 16:14:00,Cold,59
Feedback Request,"Hello, we would like to schedule a meeting to discuss your needs.",2023-04-21 22:34:00,2023-04-22 05:34:00,High,60
Contract Renewal,Don't miss out on our special discount offers this week!,2023-01-30 13:28:00,2023-01-30 15:28:00,Hot,81
Product Offering,We would appreciate your feedback on our recent collaboration.,2023-03-03 11:10:00,2023-03-03 21:10:00,High,84
Project Update,Check out our latest product offerings that might interest you.,2023-03-05 01:43:00,2023-03-07 06:43:00,Cold,22
Partnership Proposal,Join our upcoming webinar on industry trends. Register now!,2023-02-25 07:55:00,2023-02-25 12:55:00,Hot,98
Partnership Proposal,I am following up on our last conversation. Let me know if you need anything.,2023-11-27 10:44:00,2023-11-27 13:44:00,Hot,87
Special Offer,"Hello, we would like to schedule a meeting to discuss your needs.",2023-04-08 14:08:00,2023-04-09 00:08:00,High,72
Monthly Report,Here is an update on the project progress. Let us know your thoughts.,2023-01-04 00:41:00,2023-01-04 09:41:00,High,69
Special Offer,Don't miss out on our special discount offers this week!,2023-11-20 11:44:00,2023-11-20 18:44:00,High,96
Special Offer,We would appreciate your feedback on our recent collaboration.,2023-10-22 00:45:00,2023-10-22 01:45:00,Hot,84
Feedback Request,Attached is the monthly report. Please review it and share feedback.,2023-09-21 23:50:00,2023-09-22 00:50:00,Hot,64
Feedback Request,Check out our latest product offerings that might interest you.,2023-10-18 20:52:00,2023-10-18 23:52:00,Hot,74
Feedback Request,We would appreciate your feedback on our recent collaboration.,2023-12-23 01:10:00,2023-12-23 06:10:00,Hot,94
Monthly Report,Join our upcoming webinar on industry trends. Register now!,2023-12-08 19:58:00,2023-12-09 04:58:00,High,80
Webinar Invitation,Here is an update on the project progress. Let us know your thoughts.,2023-11-26 18:00:00,2023-11-26 22:00:00,Hot,87
Project Update,We would love to discuss a potential partnership. Let's connect!,2023-06-23 00:05:00,2023-06-23 07:05:00,High,86
Monthly Report,Here is an update on the project progress. Let us know your thoughts.,2023-11-21 11:28:00,2023-11-21 17:28:00,High,73
Special Offer,Don't miss out on our special discount offers this week!,2023-01-11 04:01:00,2023-01-12 06:01:00,Cold,95
Feedback Request,We would appreciate your feedback on our recent collaboration.,2023-09-10 04:06:00,2023-09-13 03:06:00,Cold,87
Feedback Request,Your contract renewal is coming up. Let's schedule a discussion.,2023-06-10 01:47:00,2023-06-10 03:47:00,Hot,77
Follow Up,Join our upcoming webinar on industry trends. Register now!,2023-01-25 23:03:00,2023-01-28 08:03:00,Cold,1
Feedback Request,Here is an update on the project progress. Let us know your thoughts.,2023-09-23 08:53:00,2023-09-23 18:53:00,High,84
Feedback Request,Here is an update on the project progress. Let us know your thoughts.,2023-06-10 22:12:00,2023-06-12 13:12:00,Cold,99
Monthly Report,Your contract renewal is coming up. Let's schedule a discussion.,2023-02-23 14:10:00,2023-02-23 20:10:00,High,74
Feedback Request,Your contract renewal is coming up. Let's schedule a discussion.,2023-06-04 23:32:00,2023-06-05 02:32:00,Hot,87
Monthly Report,I am following up on our last conversation. Let me know if you need anything.,2023-02-05 21:06:00,2023-02-07 11:06:00,Cold,100
Meeting Request,Don't miss out on our special discount offers this week!,2023-12-27 21:29:00,2023-12-27 22:29:00,Hot,82
Product Offering,We would love to discuss a potential partnership. Let's connect!,2023-12-30 18:46:00,2024-01-01 03:46:00,Cold,16
Partnership Proposal,We would appreciate your feedback on our recent collaboration.,2023-04-10 10:47:00,2023-04-10 20:47:00,High,100
Meeting Request,I am following up on our last conversation. Let me know if you need anything.,2023-09-01 06:48:00,2023-09-01 17:48:00,High,64
Product Offering,"Hello, we would like to schedule a meeting to discuss your needs.",2023-08-07 14:59:00,2023-08-07 15:59:00,Hot,100
Feedback Request,I am following up on our last conversation. Let me know if you need anything.,2023-09-12 22:44:00,2023-09-13 00:44:00,Hot,96
Meeting Request,"Hello, we would like to schedule a meeting to discuss your needs.",2023-03-03 22:08:00,2023-03-05 09:08:00,Cold,75
Partnership Proposal,I am following up on our last conversation. Let me know if you need anything.,2023-01-05 14:51:00,2023-01-05 19:51:00,Hot,70
Webinar Invitation,Join our upcoming webinar on industry trends. Register now!,2023-10-30 10:17:00,2023-10-30 19:17:00,High,60
Project Update,We would love to discuss a potential partnership. Let's connect!,2023-03-05 23:01:00,2023-03-08 00:01:00,Cold,28
Project Update,Join our upcoming webinar on industry trends. Register now!,2023-08-09 01:08:00,2023-08-09 06:08:00,Hot,80
Follow Up,Here is an update on the project progress. Let us know your thoughts.,2023-08-06 13:49:00,2023-08-06 22:49:00,High,82
Partnership Proposal,I am following up on our last conversation. Let me know if you need anything.,2023-01-29 07:43:00,2023-01-31 16:43:00,Cold,19
Project Update,Here is an update on the project progress. Let us know your thoughts.,2023-12-11 04:57:00,2023-12-13 23:57:00,Cold,39
Product Offering,Your contract renewal is coming up. Let's schedule a discussion.,2023-09-21 02:53:00,2023-09-21 07:53:00,Hot,88
Meeting Request,Check out our latest product offerings that might interest you.,2023-02-15 19:12:00,2023-02-16 04:12:00,High,83
Feedback Request,Your contract renewal is coming up. Let's schedule a discussion.,2023-10-07 09:18:00,2023-10-09 11:18:00,Cold,98
Meeting Request,We would appreciate your feedback on our recent collaboration.,2023-11-25 18:52:00,2023-11-25 23:52:00,Hot,67
Monthly Report,Don't miss out on our special discount offers this week!,2023-11-26 16:59:00,2023-11-26 20:59:00,Hot,95
Special Offer,Check out our latest product offerings that might interest you.,2023-03-25 05:52:00,2023-03-25 15:52:00,High,86
Special Offer,I am following up on our last conversation. Let me know if you need anything.,2023-10-17 14:48:00,2023-10-19 05:48:00,Cold,66
Webinar Invitation,"Hello, we would like to schedule a meeting to discuss your needs.",2023-04-08 13:31:00,2023-04-11 09:31:00,Cold,41
Special Offer,We would appreciate your feedback on our recent collaboration.,2023-10-24 04:01:00,2023-10-24 06:01:00,Hot,99
Meeting Request,We would love to discuss a potential partnership. Let's connect!,2023-10-24 08:58:00,2023-10-26 06:58:00,Cold,67
Product Offering,Attached is the monthly report. Please review it and share feedback.,2023-03-23 03:46:00,2023-03-23 07:46:00,Hot,79
Webinar Invitation,Here is an update on the project progress. Let us know your thoughts.,2023-04-16 10:52:00,2023-04-16 22:52:00,High,71
Feedback Request,We would appreciate your feedback on our recent collaboration.,2023-04-04 06:06:00,2023-04-07 06:06:00,Cold,27
Product Offering,We would appreciate your feedback on our recent collaboration.,2023-05-19 01:46:00,2023-05-21 00:46:00,Cold,92
Partnership Proposal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-06-07 23:43:00,2023-06-08 07:43:00,High,92
Follow Up,I am following up on our last conversation. Let me know if you need anything.,2023-03-10 03:19:00,2023-03-10 10:19:00,High,62
Feedback Request,Here is an update on the project progress. Let us know your thoughts.,2023-08-05 04:31:00,2023-08-05 13:31:00,High,86
Product Offering,Attached is the monthly report. Please review it and share feedback.,2023-12-10 21:16:00,2023-12-11 07:16:00,High,86
Follow Up,I am following up on our last conversation. Let me know if you need anything.,2023-10-31 18:20:00,2023-11-01 18:20:00,Cold,88
Product Offering,Here is an update on the project progress. Let us know your thoughts.,2023-10-11 14:14:00,2023-10-13 04:14:00,Cold,18
Partnership Proposal,Don't miss out on our special discount offers this week!,2023-11-08 23:28:00,2023-11-09 03:28:00,Hot,82
Feedback Request,Don't miss out on our special discount offers this week!,2023-01-08 09:39:00,2023-01-08 20:39:00,High,84
Follow Up,Join our upcoming webinar on industry trends. Register now!,2023-07-28 15:48:00,2023-07-28 23:48:00,High,69
Meeting Request,Check out our latest product offerings that might interest you.,2023-03-13 21:30:00,2023-03-14 09:30:00,High,88
Monthly Report,Join our upcoming webinar on industry trends. Register now!,2023-02-07 19:09:00,2023-02-09 16:09:00,Cold,58
Feedback Request,Attached is the monthly report. Please review it and share feedback.,2023-10-10 19:56:00,2023-10-11 04:56:00,High,96
Feedback Request,Check out our latest product offerings that might interest you.,2023-11-12 06:11:00,2023-11-12 15:11:00,High,79
Special Offer,Join our upcoming webinar on industry trends. Register now!,2023-07-15 01:12:00,2023-07-15 06:12:00,Hot,72
Webinar Invitation,Your contract renewal is coming up. Let's schedule a discussion.,2023-03-11 08:47:00,2023-03-11 20:47:00,High,72
Meeting Request,Don't miss out on our special discount offers this week!,2023-02-02 02:24:00,2023-02-02 09:24:00,High,82
Monthly Report,Join our upcoming webinar on industry trends. Register now!,2023-09-17 14:19:00,2023-09-17 18:19:00,Hot,73
Monthly Report,We would love to discuss a potential partnership. Let's connect!,2023-04-17 19:08:00,2023-04-18 00:08:00,Hot,78
Product Offering,We would appreciate your feedback on our recent collaboration.,2023-02-10 06:36:00,2023-02-10 10:36:00,Hot,96
Webinar Invitation,Your contract renewal is coming up. Let's schedule a discussion.,2023-05-16 15:18:00,2023-05-19 13:18:00,Cold,25
Special Offer,Don't miss out on our special discount offers this week!,2023-12-03 02:09:00,2023-12-03 05:09:00,Hot,79
Special Offer,Join our upcoming webinar on industry trends. Register now!,2023-12-28 06:26:00,2023-12-29 13:26:00,Cold,45
Webinar Invitation,Don't miss out on our special discount offers this week!,2023-08-20 10:49:00,2023-08-21 14:49:00,Cold,83
Feedback Request,Attached is the monthly report. Please review it and share feedback.,2023-08-05 09:37:00,2023-08-05 15:37:00,High,97
Feedback Request,Your contract renewal is coming up. Let's schedule a discussion.,2023-01-25 19:02:00,2023-01-26 02:02:00,High,100
Monthly Report,I am following up on our last conversation. Let me know if you need anything.,2023-09-06 16:51:00,2023-09-07 02:51:00,High,69
Webinar Invitation,I am following up on our last conversation. Let me know if you need anything.,2023-06-19 22:25:00,2023-06-20 04:25:00,High,86
Product Offering,Join our upcoming webinar on industry trends. Register now!,2023-09-06 17:31:00,2023-09-06 19:31:00,Hot,100
Feedback Request,"Hello, we would like to schedule a meeting to discuss your needs.",2023-02-03 06:34:00,2023-02-03 11:34:00,Hot,83
Partnership Proposal,Here is an update on the project progress. Let us know your thoughts.,2023-01-27 04:57:00,2023-01-27 09:57:00,Hot,67
Special Offer,We would appreciate your feedback on our recent collaboration.,2023-01-15 07:47:00,2023-01-18 06:47:00,Cold,56
Meeting Request,Your contract renewal is coming up. Let's schedule a discussion.,2023-01-16 03:21:00,2023-01-16 10:21:00,High,66
Webinar Invitation,Don't miss out on our special discount offers this week!,2023-09-21 02:34:00,2023-09-21 04:34:00,Hot,89
Special Offer,Check out our latest product offerings that might interest you.,2023-04-03 02:13:00,2023-04-04 23:13:00,Cold,86
Special Offer,Here is an update on the project progress. Let us know your thoughts.,2023-11-23 10:01:00,2023-11-23 15:01:00,Hot,88
Webinar Invitation,Here is an update on the project progress. Let us know your thoughts.,2023-09-09 09:00:00,2023-09-11 03:00:00,Cold,78
Project Update,Here is an update on the project progress. Let us know your thoughts.,2023-06-06 23:23:00,2023-06-07 02:23:00,Hot,79
Special Offer,We would appreciate your feedback on our recent collaboration.,2023-03-25 08:12:00,2023-03-27 11:12:00,Cold,17
Follow Up,Your contract renewal is coming up. Let's schedule a discussion.,2023-11-04 17:02:00,2023-11-05 18:02:00,Cold,70
Special Offer,We would appreciate your feedback on our recent collaboration.,2023-06-03 01:06:00,2023-06-03 12:06:00,High,81
Special Offer,Your contract renewal is coming up. Let's schedule a discussion.,2023-12-12 02:08:00,2023-12-13 23:08:00,Cold,24
Monthly Report,We would love to discuss a potential partnership. Let's connect!,2023-06-13 10:33:00,2023-06-13 12:33:00,Hot,86
Monthly Report,Don't miss out on our special discount offers this week!,2023-09-26 20:48:00,2023-09-27 06:48:00,High,89
Project Update,Your contract renewal is coming up. Let's schedule a discussion.,2023-05-13 21:15:00,2023-05-14 03:15:00,High,85
Contract Renewal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-10-30 17:30:00,2023-10-31 01:30:00,High,97
Partnership Proposal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-09-25 06:26:00,2023-09-25 14:26:00,High,83
Special Offer,Here is an update on the project progress. Let us know your thoughts.,2023-09-11 11:14:00,2023-09-11 16:14:00,Hot,87
Monthly Report,Join our upcoming webinar on industry trends. Register now!,2023-11-22 01:40:00,2023-11-24 03:40:00,Cold,67
Project Update,Here is an update on the project progress. Let us know your thoughts.,2023-12-11 01:36:00,2023-12-11 03:36:00,Hot,85
Meeting Request,Attached is the monthly report. Please review it and share feedback.,2023-09-09 04:06:00,2023-09-09 05:06:00,Hot,99
Meeting Request,Attached is the monthly report. Please review it and share feedback.,2023-06-02 22:35:00,2023-06-02 23:35:00,Hot,60
Webinar Invitation,Your contract renewal is coming up. Let's schedule a discussion.,2023-01-01 22:59:00,2023-01-02 04:59:00,High,89
Contract Renewal,We would love to discuss a potential partnership. Let's connect!,2023-05-07 19:26:00,2023-05-07 20:26:00,Hot,97
Contract Renewal,We would appreciate your feedback on our recent collaboration.,2023-12-03 11:47:00,2023-12-03 21:47:00,High,100
Webinar Invitation,I am following up on our last conversation. Let me know if you need anything.,2023-02-21 09:52:00,2023-02-21 20:52:00,High,93
Monthly Report,Join our upcoming webinar on industry trends. Register now!,2023-07-14 03:41:00,2023-07-16 12:41:00,Cold,47
Partnership Proposal,Attached is the monthly report. Please review it and share feedback.,2023-02-12 06:34:00,2023-02-12 10:34:00,Hot,70
Meeting Request,Check out our latest product offerings that might interest you.,2023-08-23 10:58:00,2023-08-23 13:58:00,Hot,95
Meeting Request,Attached is the monthly report. Please review it and share feedback.,2023-01-22 15:59:00,2023-01-24 05:59:00,Cold,3
Product Offering,Don't miss out on our special discount offers this week!,2023-08-12 13:28:00,2023-08-14 11:28:00,Cold,23
Contract Renewal,Here is an update on the project progress. Let us know your thoughts.,2023-12-10 08:52:00,2023-12-10 17:52:00,High,77
Feedback Request,I am following up on our last conversation. Let me know if you need anything.,2023-04-29 20:35:00,2023-04-30 01:35:00,Hot,63
Contract Renewal,Here is an update on the project progress. Let us know your thoughts.,2023-05-30 16:05:00,2023-06-01 20:05:00,Cold,44
Follow Up,"Hello, we would like to schedule a meeting to discuss your needs.",2023-10-25 12:56:00,2023-10-25 21:56:00,High,68
Follow Up,Join our upcoming webinar on industry trends. Register now!,2023-12-15 02:33:00,2023-12-15 04:33:00,Hot,75
Special Offer,Your contract renewal is coming up. Let's schedule a discussion.,2023-01-11 16:23:00,2023-01-11 23:23:00,High,74
Partnership Proposal,We would love to discuss a potential partnership. Let's connect!,2023-10-30 16:27:00,2023-11-01 15:27:00,Cold,61
Webinar Invitation,Join our upcoming webinar on industry trends. Register now!,2023-06-21 22:19:00,2023-06-22 02:19:00,Hot,74
Monthly Report,We would appreciate your feedback on our recent collaboration.,2023-09-14 20:57:00,2023-09-14 22:57:00,Hot,92
Feedback Request,Attached is the monthly report. Please review it and share feedback.,2023-04-30 19:01:00,2023-05-02 23:01:00,Cold,53
Webinar Invitation,Here is an update on the project progress. Let us know your thoughts.,2023-04-03 04:39:00,2023-04-03 10:39:00,High,98
Product Offering,Join our upcoming webinar on industry trends. Register now!,2023-11-23 00:14:00,2023-11-23 06:14:00,High,95
Follow Up,Check out our latest product offerings that might interest you.,2023-10-24 11:24:00,2023-10-24 17:24:00,High,69
Project Update,Join our upcoming webinar on industry trends. Register now!,2023-05-18 19:39:00,2023-05-19 06:39:00,High,66
Monthly Report,"Hello, we would like to schedule a meeting to discuss your needs.",2023-07-09 16:42:00,2023-07-11 07:42:00,Cold,13
Project Update,We would love to discuss a potential partnership. Let's connect!,2023-03-17 10:27:00,2023-03-17 15:27:00,Hot,68
Contract Renewal,Your contract renewal is coming up. Let's schedule a discussion.,2023-11-18 17:46:00,2023-11-18 18:46:00,Hot,89
Contract Renewal,Check out our latest product offerings that might interest you.,2023-05-17 15:52:00,2023-05-18 03:52:00,High,88
Partnership Proposal,"Hello, we would like to schedule a meeting to discuss your needs.",2023-03-03 18:32:00,2023-03-04 06:32:00,High,93
Meeting Request,I am following up on our last conversation. Let me know if you need anything.,2023-02-27 02:27:00,2023-02-27 07:27:00,Hot,67
Project Update,"Hello, we would like to schedule a meeting to discuss your needs.",2023-03-06 20:49:00,2023-03-07 06:49:00,High,94
Project Update,I am following up on our last conversation. Let me know if you need anything.,2023-07-15 09:11:00,2023-07-15 16:11:00,High,92
Feedback Request,We would appreciate your feedback on our recent collaboration.,2023-10-22 00:00:00,2023-10-22 10:00:00,High,100
Partnership Proposal,We would appreciate your feedback on our recent collaboration.,2023-07-17 09:36:00,2023-07-17 16:36:00,High,79
